Tract (Group 1)	risk_indicator
24510260800	1
24510261000	1
24510271002	1
24510271801	2
24510271802	4
24510271900	4
24510272003	3
24510272007	2
24510280302	1
24510280500	1
25001012101	1
25001012602	1
25001013100	0
25001015300	0
25003900100	2
25003900200	1
25003926100	1
25005610203	1
25005612100	1
25005614101	1
25005631100	1
25005640200	1
25005640400	1
25005642100	1
25009206500	2
25009206600	5
25009206700	4
25009208400	1
25009210700	1
25009221600	0
25009250700	1
25009250900	1
25009251300	1
25009251600	1
25009252300	2
25009260700	0
25009260800	1
25009260900	2
25009261102	1
25013800300	1
25013800600	4
25013801603	1
25013801700	4
25013801800	1
25017325100	1
25017331101	1
25017351100	2
25017359300	2
25017386100	0
25021403500	1
25021414100	0
25021418002	1
25021420301	1
25023502101	2
25023508200	1
25023511100	1
25023522102	1
25023530200	1
25025010203	3
25025020200	4
25025050101	1
25025050200	3
25025060301	3
25025090200	1
25025091700	2
25025091800	1
25025091900	5
25025092000	1
25025092101	2
25025980700	1
25027709502	0
25027709600	5
25027731204	1
25027732203	2
25027732802	1
25027735100	2
25027744200	1
25027752100	1
25027757100	2
26001970500	1
26005030401	0
26005030902	1
26005031000	2
26005031200	1
26005032401	0
26007000200	1
26009960700	0
26015010200	1
26015010401	1
26015011300	1
26017285300	1
26017286100	1
26017286200	1
26017286500	1
26017286600	1
26021000300	1
26021002000	0
26021010600	1
26023951100	1
26023951600	1
26025000200	3
26025000900	2
26025002800	1
26025002900	1
26025003100	3
26027001000	1
26027002100	1
26031960100	0
26031960400	0
26031960800	0
26035000300	1
26035000600	2
26037011001	1
26041970600	0
26045020202	1
26047970800	0
26049000100	1
26049000200	1
26049000400	1
26049000600	0
26049000700	1
26049000900	1
26049001500	1
26049001600	0
26049001700	1
26049002700	2
26049003200	1
26049003500	1
26049010115	1
26049010700	1
26049011209	5
26049011214	1
26049011710	1
26049012602	1
26049013202	1
26053950200	1
26057000100	1
26057000800	1
26061000500	1
26061000700	2
26063950500	1
26063950700	1
26063951000	1
26065005302	1
26065006302	1
26067030100	3
26067031300	1
26069000300	1
26071000300	1
26073000100	2
26073000200	1
26073940500	1
26075001200	1
26075006500	1
