

Tract (Group 1)	Date (Group 2)	risk_indicator
42003070900	1/13/09	1
42007605400	1/13/09	1
42011010902	1/13/09	1
42065950600	1/13/09	1
44007012602	1/13/09	2
45007011202	1/13/09	1
45041002400	1/13/09	1
45065920200	1/13/09	1
45083022302	1/13/09	1
45087030700	1/13/09	1
46099000900	1/13/09	1
46129965200	1/13/09	1
47021070201	1/13/09	1
47037017402	1/13/09	1
47059091400	1/13/09	1
47113000400	1/13/09	1
47157001500	1/13/09	1
47167040100	1/13/09	1
47179061800	1/13/09	1
47187050904	1/13/09	1
48005000200	1/13/09	1
48027023105	1/13/09	1
48029121119	1/13/09	3
48029121812	1/13/09	1
48039660602	1/13/09	1
48039664200	1/13/09	0
48073950600	1/13/09	1
48117950600	1/13/09	1
48133950200	1/13/09	1
48201334100	1/13/09	1
48439111012	1/13/09	1
48439113115	1/13/09	2
49035113509	1/13/09	1
5009790300	1/13/09	1
5021950200	1/13/09	1
5045030403	1/13/09	1
5055480500	1/13/09	1
5107480500	1/13/09	1
51105950100	1/13/09	1
51187020400	1/13/09	0
5119002700	1/13/09	1
51510200103	1/13/09	0
51570830500	1/13/09	1
51650011800	1/13/09	0
51730811000	1/13/09	1
51800065100	1/13/09	1
53063002600	1/13/09	1
54079020200	1/13/09	1
55031030100	1/13/09	1
55035000100	1/13/09	1
55057100400	1/13/09	2
55079012300	1/13/09	1
55079013500	1/13/09	1
55139002800	1/13/09	0
6001409500	1/13/09	1
6001409800	1/13/09	1
6029000200	1/13/09	1
6037402101	1/13/09	1
6037603900	1/13/09	2
6065043900	1/13/09	1
6097151309	1/13/09	1
6101050603	1/13/09	1
72133953800	1/13/09	1
9011690900	1/13/09	2
10003012700	1/14/09	1
1039962100	1/14/09	1
1043964800	1/14/09	1
1045021400	1/14/09	1
1047956100	1/14/09	1
1077011400	1/14/09	1
1079979500	1/14/09	1
1089002911	1/14/09	1
1089010100	1/14/09	1
1089010702	1/14/09	0
1089010800	1/14/09	0
1125010702	1/14/09	1
12007000200	1/14/09	1
12009064302	1/14/09	1
12019030304	1/14/09	1
12019030904	1/14/09	1
12031001500	1/14/09	1
12075970102	1/14/09	0
12086010009	1/14/09	1
12097043500	1/14/09	1
12103025204	1/14/09	1
12103025602	1/14/09	1
12115001201	1/14/09	1
13065970100	1/14/09	1
13067031409	1/14/09	1
13121010514	1/14/09	1
13143010200	1/14/09	1
13277960600	1/14/09	1
17005951500	1/14/09	1
17031251600	1/14/09	1
17031420700	1/14/09	1
17031491400	1/14/09	1
